iter	Logloss
0	0.638611606
1	0.5962861796
2	0.5613234488
3	0.5208995612
4	0.4850140106
5	0.4538928342
6	0.430048121
7	0.4021149036
8	0.3839989258
9	0.3661174127
10	0.3482851022
11	0.3334373286
12	0.3225971614
13	0.312353073
14	0.3034453736
15	0.2974628216
16	0.2878887579
17	0.2808885561
18	0.2734167577
19	0.2678345237
20	0.2629918906
21	0.2577420443
22	0.2536588462
23	0.2500965326
24	0.2465940907
25	0.2427564805
26	0.2385485165
27	0.2345101939
28	0.229837798
29	0.2271440791
30	0.2236299324
31	0.2211985001
32	0.217375503
33	0.2145399362
34	0.2131882672
35	0.2110453118
36	0.2085776442
37	0.2066740908
38	0.2048907349
39	0.2030807772
40	0.2003335
41	0.1984160143
42	0.1959080397
43	0.1947924385
44	0.1930596756
45	0.1917616783
46	0.190088461
47	0.1884740655
48	0.1870975681
49	0.1847527937
50	0.1829394026
51	0.1817362212
52	0.1802858488
53	0.1789183038
54	0.1774745429
55	0.1767984459
56	0.1748723908
57	0.1729832095
58	0.1713127161
59	0.1696317381
60	0.1682803528
61	0.1669056997
62	0.1663452886
63	0.1651543795
64	0.1641232088
65	0.1634387411
66	0.1618576724
67	0.1603527202
68	0.1592813134
69	0.15818732
70	0.157154234
71	0.1560252964
72	0.1545099447
73	0.1532469057
74	0.1523782827
75	0.1513168214
76	0.1505978636
77	0.1498781964
78	0.149016582
79	0.1480232498
80	0.1474805732
81	0.1464386483
82	0.1455412244
83	0.1446759354
84	0.1435386271
85	0.1427650186
86	0.1418604299
87	0.1410457056
88	0.1396310718
89	0.1383333725
90	0.1376847002
91	0.1371851256
92	0.1367643774
93	0.1358511201
94	0.1350735248
95	0.1343955267
96	0.1338542404
97	0.1329650453
98	0.1320256544
99	0.1312044038
100	0.130608552
101	0.1296888393
102	0.129356778
103	0.1288371988
104	0.1278524217
105	0.1271875329
106	0.1266225817
107	0.1258588052
108	0.1253622242
109	0.1245771946
110	0.123968503
111	0.1232603845
112	0.1222799204
113	0.1218863274
114	0.1213124238
115	0.1207387473
116	0.1200316929
117	0.1196650421
118	0.1188094575
119	0.1183289156
120	0.1178922631
121	0.1172743283
122	0.1162781017
123	0.1158421586
124	0.1153029012
125	0.1148010708
126	0.1142570606
127	0.1137011611
128	0.1131554342
129	0.1128275298
130	0.1122079847
131	0.1118779096
132	0.1113220527
133	0.1108432913
134	0.1105154012
135	0.1100568643
136	0.1096515806
137	0.1092097922
138	0.108623893
139	0.1082069613
140	0.1077226101
141	0.1072737278
142	0.1067338249
143	0.1059021961
144	0.1055224076
145	0.1050271602
146	0.1047141032
147	0.1042001636
148	0.1036284024
149	0.1032688739
